city,state,pincode,lat,lon,pincodes
Sivaganga,Tamil Nadu,630001,9.982,78.5987,63
Thanjavur,Tamil Nadu,609802,10.7741,79.2413,93
Theni,Tamil Nadu,625203,9.8902,77.4394,31
Tiruchirappalli,Tamil Nadu,612905,10.8889,78.5964,84
Tirunelveli,Tamil Nadu,627001,8.7987,77.5778,117
Tiruvallur,Tamil Nadu,600019,13.2425,79.94,61
Tiruvannamalai,Tamil Nadu,604401,12.4399,79.1683,64
Tiruvarur,Tamil Nadu,609403,10.6797,79.536,61
Tuticorin,Tamil Nadu,628001,8.6454,78.0044,88
Vellore,Tamil Nadu,631001,12.8361,79.0104,109
Villupuram,Tamil Nadu,604001,11.9744,79.3606,80
Virudhunagar,Tamil Nadu,626001,9.4841,77.9427,57
Adilabad,Telangana,504001,19.5158,78.574,51
Hyderabad,Telangana,500001,17.4171,78.4772,93
K.V.Rangareddy,Telangana,500018,17.1316,78.4112,40
Karim Nagar,Telangana,505001,18.376,79.2449,83
Khammam,Telangana,507001,17.2094,80.3654,55
Mahabub Nagar,Telangana,509001,16.703,77.8097,75
Mahabubabad,Telangana,506103,17.6681,79.9836,2
Medak,Telangana,502001,17.9554,78.2569,76
Nalgonda,Telangana,508001,16.876,79.2009,59
Nizamabad,Telangana,503001,18.696,78.2131,53
Suryapet,Telangana,508224,17.3343,79.5407,1
Warangal,Telangana,506001,17.9218,79.7582,78
Dhalai,Tripura,799204,23.936,91.8987,9
Gomti,Tripura,799113,23.4955,91.3298,1
North Tripura,Tripura,799250,24.1041,92.2079,21
Sepahijala,Tripura,799132,23.3481,91.3204,1
South Tripura,Tripura,799013,23.2156,91.5825,18
West Tripura,Tripura,799001,23.8903,91.4025,30
Agra,Uttar Pradesh,282001,27.0512,78.0809,29
Aligarh,Uttar Pradesh,202001,27.924,78.0637,34
Allahabad,Uttar Pradesh,211001,25.4374,81.928,52
Ambedkar Nagar,Uttar Pradesh,224122,26.4201,82.6475,39
Auraiya,Uttar Pradesh,206121,26.6609,79.4832,14
Azamgarh,Uttar Pradesh,223221,26.0462,83.0416,42
Bagpat,Uttar Pradesh,250101,29.094,77.3175,15
Bahraich,Uttar Pradesh,271801,27.6165,81.5123,21
Ballia,Uttar Pradesh,221701,25.8752,84.1052,39
Balrampur,Uttar Pradesh,271201,27.3145,82.3745,15
Banda,Uttar Pradesh,210001,25.5471,80.5695,11
Barabanki,Uttar Pradesh,225001,26.9377,81.3341,35
Bareilly,Uttar Pradesh,243001,28.4071,79.4216,26
Basti,Uttar Pradesh,272001,26.8212,82.6238,26
Bijnor,Uttar Pradesh,246701,29.3257,78.3393,25
Budaun,Uttar Pradesh,242021,28.0801,79.0399,21
Bulandshahr,Uttar Pradesh,203001,28.3492,77.997,28
Chandauli,Uttar Pradesh,221009,25.2819,83.2199,15
Chitrakoot,Uttar Pradesh,210204,25.2688,81.092,6
Deoria,Uttar Pradesh,274001,26.4227,83.8366,28
Etah,Uttar Pradesh,207001,27.5097,78.7097,24
Etawah,Uttar Pradesh,206001,26.7778,79.0932,15
Faizabad,Uttar Pradesh,224001,26.6537,82.0064,27
Farrukhabad,Uttar Pradesh,209501,27.4287,79.4847,17
Fatehpur,Uttar Pradesh,212601,25.8736,80.8074,22
Firozabad,Uttar Pradesh,283103,27.1934,78.5405,14
Gautam Buddha Nagar,Uttar Pradesh,201008,28.4014,77.535,25
Ghaziabad,Uttar Pradesh,201001,28.7643,77.4856,31
Ghazipur,Uttar Pradesh,232325,25.6226,83.5562,42
Gonda,Uttar Pradesh,271001,27.0801,82.0256,32
Gorakhpur,Uttar Pradesh,273001,26.6912,83.3614,39
Hamirpur,Uttar Pradesh,210301,25.7591,79.8083,13
Hardoi,Uttar Pradesh,241001,27.329,80.1629,24
Hathras,Uttar Pradesh,204101,27.5775,78.1621,11
Jalaun,Uttar Pradesh,285001,26.0939,79.3828,18
Jaunpur,Uttar Pradesh,222001,25.7461,82.5759,41
Jhansi,Uttar Pradesh,284001,25.5048,78.952,22
Jyotiba Phule Nagar,Uttar Pradesh,244221,28.8215,78.3699,13
Kannauj,Uttar Pradesh,209720,27.0121,79.6888,17
Kanpur Dehat,Uttar Pradesh,209101,26.4377,79.8586,23
Kanpur Nagar,Uttar Pradesh,208001,26.3891,80.2289,32
Kaushambi,Uttar Pradesh,212201,25.4915,81.418,11
Kheri,Uttar Pradesh,261501,28.1221,80.6672,27
Kushinagar,Uttar Pradesh,274149,26.8618,83.9348,21
Lalitpur,Uttar Pradesh,284122,24.8052,78.5301,12
Lucknow,Uttar Pradesh,226001,26.8416,80.9666,43
Maharajganj,Uttar Pradesh,273151,27.1064,83.5328,17
Mahoba,Uttar Pradesh,210421,25.3493,79.7592,8
Mainpuri,Uttar Pradesh,205001,27.1735,79.0772,14
Mathura,Uttar Pradesh,281001,27.5802,77.628,27
Mau,Uttar Pradesh,221601,26.0405,83.5749,21
Meerut,Uttar Pradesh,245206,29.0356,77.7513,23
Mirzapur,Uttar Pradesh,231001,25.1452,82.6094,16
Moradabad,Uttar Pradesh,244001,28.9142,78.7854,20
Muzaffarnagar,Uttar Pradesh,247771,29.4146,77.7433,29
Pilibhit,Uttar Pradesh,262001,28.5348,79.9752,9
Pratapgarh,Uttar Pradesh,229408,25.8728,81.8316,40
Raebareli,Uttar Pradesh,229001,26.2031,81.191,48
Rampur,Uttar Pradesh,244701,28.7944,79.1232,10
Saharanpur,Uttar Pradesh,247001,29.9487,77.5487,19
Sant Kabir Nagar,Uttar Pradesh,272162,26.7882,83.0228,10
Sant Ravidas Nagar,Uttar Pradesh,221301,25.4155,82.5533,13
Shahjahanpur,Uttar Pradesh,242001,27.8446,79.8092,17
Shrawasti,Uttar Pradesh,271803,27.7213,81.8999,7
Siddharthnagar,Uttar Pradesh,272152,27.2734,82.8635,16
Sitapur,Uttar Pradesh,261001,27.5178,80.8575,25
Sonbhadra,Uttar Pradesh,231205,24.3821,83.0804,19
Sultanpur,Uttar Pradesh,222301,26.2425,82.2267,43
Unnao,Uttar Pradesh,209801,26.6094,80.6694,20
Varanasi,Uttar Pradesh,221001,25.3887,82.9177,35
Almora,Uttarakhand,263601,29.7159,79.4732,32
Bageshwar,Uttarakhand,263619,29.9864,79.8596,12
Chamoli,Uttarakhand,246401,30.4953,79.5787,26
Champawat,Uttarakhand,262309,29.3145,80.0196,8
Dehradun,Uttarakhand,248001,30.3595,78.0369,40
Haridwar,Uttarakhand,247656,29.8716,78.0391,19
Nainital,Uttarakhand,244715,29.3127,79.4547,19
Pauri Garhwal,Uttarakhand,246001,29.9186,78.7975,48
Pithoragarh,Uttarakhand,262501,30.1119,80.3477,29
Rudraprayag,Uttarakhand,246141,30.5303,79.0589,13
Tehri Garhwal,Uttarakhand,249001,30.4374,78.537,23
Udham Singh Nagar,Uttarakhand,244712,29.0275,79.5235,16
Uttarkashi,Uttarakhand,249128,30.9731,78.6039,12
Alipurduar,West Bengal,735204,26.6142,89.0934,24
Bankura,West Bengal,713150,23.141,87.135,45
Birbhum,West Bengal,731101,24.1183,87.7386,43
Burdwan,West Bengal,713385,23.4278,87.7677,1
Cooch Behar,West Bengal,735122,26.291,89.3437,25
Darjiling,West Bengal,734001,26.9135,88.3297,54
East Midnapore,West Bengal,721130,22.0208,87.7744,84
Hooghly,West Bengal,712101,22.8847,88.0798,84
Howrah,West Bengal,711101,22.526,88.0676,52
Jalpaiguri,West Bengal,734006,26.725,88.9013,33
Kalimpong,West Bengal,734301,27.0886,88.5287,5
Kolkata,West Bengal,700001,22.5553,88.3558,79
Malda,West Bengal,732101,25.1367,88.0428,36
Murshidabad,West Bengal,742101,24.1612,88.231,62
Nadia,West Bengal,741101,23.4827,88.5215,74
North 24 Parganas,West Bengal,700048,22.4656,88.7803,128
North Dinajpur,West Bengal,733123,25.881,88.1583,14
Paschim Bardhaman,West Bengal,713208,23.8561,87.4564,35
Purba Bardhaman,West Bengal,713101,23.4278,87.7677,85
Purulia,West Bengal,723101,23.2774,86.4183,33
South 24 Parganas,West Bengal,700039,22.2107,88.4167,68
South Dinajpur,West Bengal,733101,24.7066,88.0444,15
West Midnapore,West Bengal,721101,22.4143,87.267,68
